time/s	<Ewe/V>	I/mA	
1.461005163091904E+003	4.6950826E-001	1.3581754E+002
1.461105163089378E+003	3.7876899E+000	1.9324553E+002
1.461205163086852E+003	3.7931812E+000	1.9332829E+002
1.461305163084326E+003	3.8008540E+000	1.9327736E+002
1.461405163081799E+003	3.8003228E+000	1.9336650E+002
1.461505163079273E+003	3.8043995E+000	1.9329646E+002
1.461605163076747E+003	3.8001621E+000	1.9337286E+002
1.461705163074221E+003	3.8049467E+000	1.9323280E+002
1.461805163071695E+003	3.8099651E+000	1.9330283E+002
1.461905163069168E+003	3.8140032E+000	1.9332193E+002
1.462005163066642E+003	3.8145285E+000	1.9329646E+002
1.462105163064116E+003	3.8207617E+000	1.9323917E+002
1.462205163061590E+003	3.8240800E+000	1.9325191E+002
1.462305163059063E+003	3.8242085E+000	1.9330283E+002
1.462405163056537E+003	3.8200588E+000	1.9326463E+002
1.462505163054011E+003	3.8172498E+000	1.9327101E+002
1.462605163051485E+003	3.8195069E+000	1.9329012E+002
1.462705163048959E+003	3.8178027E+000	1.9321370E+002
1.462805163046432E+003	3.8287444E+000	1.9326463E+002
1.462905163043906E+003	3.8196735E+000	1.9327736E+002
1.463005163041380E+003	3.8284726E+000	1.9328372E+002
1.463105163038854E+003	3.8195398E+000	1.9325191E+002
1.463205163036328E+003	3.8171594E+000	1.9332829E+002
1.463305163033801E+003	3.8146505E+000	1.9325826E+002
1.463405163031275E+003	3.8163338E+000	1.9324553E+002
1.463505163028749E+003	3.8178079E+000	1.9327736E+002
1.463605163026223E+003	3.8172281E+000	1.9330283E+002
1.463705163023697E+003	3.8177211E+000	1.9329646E+002
1.463805163021170E+003	3.8204222E+000	1.9320732E+002
1.463905163018644E+003	3.8178537E+000	1.9323280E+002
1.464005163016118E+003	3.8178577E+000	1.9330283E+002
1.464105163013592E+003	3.8175092E+000	1.9328372E+002
1.464205163011065E+003	3.8221385E+000	1.9329012E+002
1.464305163008539E+003	3.8272095E+000	1.9325826E+002
1.464405163006013E+003	3.8298626E+000	1.9325826E+002
1.464505163003487E+003	3.8296165E+000	1.9326463E+002
1.464605163000961E+003	3.8343546E+000	1.9330283E+002
1.464705162998434E+003	3.8216729E+000	1.9323280E+002
1.464805162995908E+003	3.8204691E+000	1.9327101E+002
1.464905162993382E+003	3.8211849E+000	1.9325191E+002
1.465005162990856E+003	3.8191123E+000	1.9330920E+002
1.465105162988330E+003	3.8298011E+000	1.9319460E+002
1.465205162985803E+003	3.8188453E+000	1.9328372E+002
1.465305162983277E+003	3.8172131E+000	1.9332829E+002
1.465405162980751E+003	3.8216555E+000	1.9329012E+002
1.465505162978225E+003	3.8254895E+000	1.9327101E+002
1.465605162975698E+003	3.8262701E+000	1.9323280E+002
1.465705162973172E+003	3.8226621E+000	1.9328372E+002
1.465805162970646E+003	3.8196776E+000	1.9328372E+002
1.465905162968120E+003	3.8313732E+000	1.9332193E+002
1.466005162965594E+003	3.8240457E+000	1.9330920E+002
1.466105162963067E+003	3.8233798E+000	1.9321370E+002
1.466205162960541E+003	3.8234870E+000	1.9325826E+002
1.466305162958015E+003	3.8266051E+000	1.9325191E+002
1.466405162955489E+003	3.8180156E+000	1.9331557E+002
1.466505162952963E+003	3.8190978E+000	1.9325826E+002
1.466605162950436E+003	3.8174825E+000	1.9323280E+002
1.466705162947910E+003	3.8188481E+000	1.9324553E+002
1.466805162945384E+003	3.8141799E+000	1.9325191E+002
1.466905162942858E+003	3.8158498E+000	1.9328372E+002
1.467005162940332E+003	3.8100669E+000	1.9325191E+002
1.467105162937805E+003	3.8203223E+000	1.9320732E+002
1.467205162935279E+003	3.8232396E+000	1.9324553E+002
1.467305162932753E+003	3.8291631E+000	1.9323280E+002
1.467405162930227E+003	3.8236668E+000	1.9323917E+002
1.467505162927700E+003	3.8340700E+000	1.9320097E+002
1.467605162925174E+003	3.8235555E+000	1.9329646E+002
1.467705162922648E+003	3.8235672E+000	1.9325191E+002
1.467805162920122E+003	3.8244433E+000	1.9329646E+002
1.467905162917596E+003	3.8236079E+000	1.9327736E+002
1.468005162915069E+003	3.8263381E+000	1.9324553E+002
1.468105162912543E+003	3.8210135E+000	1.9327736E+002
1.468205162910017E+003	3.8334033E+000	1.9329012E+002
1.468305162907491E+003	3.8229713E+000	1.9331557E+002
1.468405162904965E+003	3.8248219E+000	1.9330283E+002
1.468505162902438E+003	3.8266013E+000	1.9331557E+002
1.468605162899912E+003	3.8281629E+000	1.9322643E+002
1.468705162897386E+003	3.8310306E+000	1.9329012E+002
1.468805162894860E+003	3.8346350E+000	1.9320097E+002
1.468905162892333E+003	3.8341560E+000	1.9327101E+002
1.469005162889807E+003	3.8345461E+000	1.9329012E+002
1.469105162887281E+003	3.8102505E+000	1.9325191E+002
1.469205162884755E+003	3.8111362E+000	1.9320097E+002
1.469305162882229E+003	3.8145483E+000	1.9326463E+002
1.469405162879702E+003	3.8232951E+000	1.9323280E+002
1.469505162877176E+003	3.8225563E+000	1.9323280E+002
1.469605162874650E+003	3.8286378E+000	1.9326463E+002
1.469705162872124E+003	3.8186176E+000	1.9326463E+002
1.469805162869598E+003	3.8326356E+000	1.9322008E+002
1.469905162867071E+003	3.8310831E+000	1.9323280E+002
1.470005162864545E+003	3.8235705E+000	1.9329646E+002
1.470105162862019E+003	3.8238552E+000	1.9332829E+002
1.470205162859493E+003	3.8165572E+000	1.9329012E+002
1.470305162856966E+003	3.8129456E+000	1.9331557E+002
1.470405162854440E+003	3.8101649E+000	1.9321370E+002
1.470505162851914E+003	3.8175757E+000	1.9327736E+002
1.470605162849388E+003	3.8220329E+000	1.9331557E+002
1.470705162846862E+003	3.8275926E+000	1.9327101E+002
1.470805162844335E+003	3.8192043E+000	1.9336650E+002
1.470905162841809E+003	3.8241479E+000	1.9326463E+002
1.471005162839283E+003	3.8181365E+000	1.9317551E+002
1.471105162836757E+003	3.8205972E+000	1.9323280E+002
1.471205162834231E+003	3.8183310E+000	1.9327101E+002
1.471305162831704E+003	3.8181660E+000	1.9318187E+002
1.471405162829178E+003	3.8138731E+000	1.9327101E+002
1.471505162826652E+003	3.8210700E+000	1.9323917E+002
1.471605162824126E+003	3.8172450E+000	1.9320732E+002
1.471705162821600E+003	3.8206627E+000	1.9321370E+002
1.471805162819073E+003	3.8211293E+000	1.9320732E+002
1.471905162816547E+003	3.8257842E+000	1.9325826E+002
1.472005162814021E+003	3.8263421E+000	1.9323280E+002
1.472105162811495E+003	3.8284638E+000	1.9322643E+002
1.472205162808968E+003	3.8184159E+000	1.9331557E+002
1.472305162806442E+003	3.8145833E+000	1.9326463E+002
1.472405162803916E+003	3.8185847E+000	1.9323917E+002
1.472505162801390E+003	3.8303580E+000	1.9330920E+002
1.472605162798864E+003	3.8303301E+000	1.9330920E+002
1.472705162796337E+003	3.8256998E+000	1.9328372E+002
1.472805162793811E+003	3.8233349E+000	1.9329646E+002
1.472905162791285E+003	3.8115804E+000	1.9328372E+002
1.473005162788759E+003	3.8174441E+000	1.9327101E+002
1.473105162786233E+003	3.8117173E+000	1.9333467E+002
1.473205162783706E+003	3.8140371E+000	1.9323280E+002
1.473305162781180E+003	3.8150606E+000	1.9321370E+002
1.473405162778654E+003	3.8173263E+000	1.9330283E+002
1.473505162776128E+003	3.8190994E+000	1.9322643E+002
1.473605162773601E+003	3.8222876E+000	1.9325826E+002
