time/s	<Ewe/V>	I/mA	
9.694803755088651E+002	5.8652514E-001	2.9086676E+002
9.695803755063389E+002	4.5453305E+000	3.8681989E+002
9.696803755038127E+002	4.5655489E+000	3.8673077E+002
9.697803755012865E+002	4.5520501E+000	3.8678806E+002
9.698803754987603E+002	4.5625272E+000	3.8678806E+002
9.699803754962340E+002	4.5729284E+000	3.8676898E+002
9.700803754937078E+002	4.5744681E+000	3.8677536E+002
9.701803754911816E+002	4.5872073E+000	3.8676898E+002
9.702803754886554E+002	4.5887017E+000	3.8677536E+002
9.703803754861292E+002	4.5980167E+000	3.8678168E+002
9.704803754836030E+002	4.6018972E+000	3.8675623E+002
9.705803754810768E+002	4.6046848E+000	3.8680716E+002
9.706803754785506E+002	4.5922284E+000	3.8681357E+002
9.707803754760243E+002	4.5931592E+000	3.8674347E+002
9.708803754734981E+002	4.5926394E+000	3.8678168E+002
9.709803754709719E+002	4.6008086E+000	3.8678168E+002
9.710803754684457E+002	4.5947089E+000	3.8674347E+002
9.711803754659195E+002	4.6035395E+000	3.8678168E+002
9.712803754633933E+002	4.6016412E+000	3.8683264E+002
9.713803754608671E+002	4.5945678E+000	3.8678168E+002
9.714803754583409E+002	4.5999966E+000	3.8674347E+002
9.715803754558146E+002	4.5876517E+000	3.8669257E+002
9.716803754532884E+002	4.5882821E+000	3.8673077E+002
9.717803754507622E+002	4.5926414E+000	3.8678806E+002
9.718803754482360E+002	4.5997400E+000	3.8687085E+002
9.719803754457098E+002	4.5958176E+000	3.8682626E+002
9.720803754431836E+002	4.5948610E+000	3.8680716E+002
9.721803754406574E+002	4.5875025E+000	3.8682626E+002
9.722803754381312E+002	4.5894222E+000	3.8678806E+002
9.723803754356049E+002	4.5907087E+000	3.8677536E+002
9.724803754330787E+002	4.5919638E+000	3.8681357E+002
9.725803754305525E+002	4.5958390E+000	3.8675623E+002
9.726803754280263E+002	4.5969028E+000	3.8675623E+002
9.727803754255001E+002	4.5861506E+000	3.8679443E+002
9.728803754229739E+002	4.5867167E+000	3.8682626E+002
9.729803754204477E+002	4.5913801E+000	3.8671802E+002
9.730803754179215E+002	4.5875850E+000	3.8683264E+002
9.731803754153952E+002	4.5869384E+000	3.8674985E+002
9.732803754128690E+002	4.5924854E+000	3.8676898E+002
9.733803754103428E+002	4.5924883E+000	3.8675623E+002
9.734803754078166E+002	4.5923014E+000	3.8677536E+002
9.735803754052904E+002	4.5909395E+000	3.8679443E+002
9.736803754027642E+002	4.5953116E+000	3.8678806E+002
9.737803754002380E+002	4.5899577E+000	3.8681989E+002
9.738803753977118E+002	4.5912113E+000	3.8678168E+002
9.739803753951855E+002	4.5901046E+000	3.8676257E+002
9.740803753926593E+002	4.5981302E+000	3.8671802E+002
9.741803753901331E+002	4.5948520E+000	3.8678806E+002
9.742803753876069E+002	4.5976305E+000	3.8674985E+002
9.743803753850807E+002	4.5964642E+000	3.8676898E+002
9.744803753825545E+002	4.5930471E+000	3.8683899E+002
9.745803753800283E+002	4.5933690E+000	3.8674985E+002
9.746803753775021E+002	4.5873003E+000	3.8684537E+002
9.747803753749758E+002	4.5805840E+000	3.8674985E+002
9.748803753724496E+002	4.5852089E+000	3.8684537E+002
9.749803753699234E+002	4.5797381E+000	3.8682626E+002
9.750803753673972E+002	4.5881400E+000	3.8676898E+002
9.751803753648710E+002	4.5856690E+000	3.8671802E+002
9.752803753623448E+002	4.5782533E+000	3.8676898E+002
9.753803753598186E+002	4.5833740E+000	3.8680078E+002
9.754803753572924E+002	4.5816574E+000	3.8674985E+002
9.755803753547661E+002	4.5867147E+000	3.8679443E+002
9.756803753522399E+002	4.5959253E+000	3.8679443E+002
